Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Evénements\Déclencheur de l'événement;\Univers\Univers\Terme métier;Collaborateur à l'origine du déclenchement de l'événement (celui qui a fait la demande);e23c0d54-076f-4b80-84d8-771ba067840f;Event Triggering Role Identifier;
\Modèle Objets Métier - MOM\Evénements\Description raison événement;\Univers\Univers\Terme métier;Texte permettant de décrire la motivation de déclenchement de l'événement;00c5fee9-9e15-419a-96af-2618133c28cc;Event Reason Description;
\Modèle Objets Métier - MOM\Evénements\Devise de l'évènement;\Univers\Univers\Terme métier;Devise utilisée lors de l'évènement;d3bd7e28-5216-4e2a-ad7a-c1f5fdc60006;Event currency;
\Modèle Objets Métier - MOM\Evénements\Identifiant Appelant;\Univers\Univers\Terme métier;Identifiant du système, de la personne à l'origine de l'appel de l'événement;797a5494-609f-462c-a18c-67b53b7e2eef;Caller;
\Modèle Objets Métier - MOM\Evénements\Identifiant événement;\Univers\Univers\Terme métier;Identifiant interne, unique au sein du SI, de l'événement;8874f295-1bad-4280-b39f-ce5c118883ba;Event identifier;
\Modèle Objets Métier - MOM\Evénements\Identifiant Valideur événement;\Univers\Univers\Terme métier;Identifiant de la personne (Collaborateur) ayant validé l'évènement.;e928fb6a-383f-4469-bfef-ab4a3e89c33f;Event Validating Role Identifier;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion;\Univers\Univers\Univers;Ensemble des informations relatives au contrat et utiles à sa gestion;2fa576e8-8f26-46f7-b2c8-6aecbea22fbf;Customer Agreement Operational Elements;
\Modèle Objets Métier - MOM\Contrat\Intervenants;\Univers\Univers\Univers;Le rôle des TIERS attachés au contrat (personne physique et personne morale): Financeurs, Bénéficiaires, Souscripteur, Gestionnaire, etc.;2fa576e8-8f26-46f7-b2c8-6aecbea22fbf;Party role;
\Modèle Objets Métier - MOM\Evénements\Modificateur événement;\Univers\Univers\Terme métier;Collaborateur à l'origine de la modification de l'événement / son statut;9aaf3075-4673-4c19-b6d2-98dc9febe052;Event Instructing Role Identifier;
\Modèle Objets Métier - MOM\Evénements\Motif événement;\Univers\Univers\Terme métier;"Motif motivant la création / l'exécution de l'événement. 
Exemple (en garantie) :  
le motif de réaménagement peut être : réduction de la durée, changement de la durée, nouveau CRD… 
le motif de déchéance peut être : mise en place hors délais, document non conforme, non production de document, autres..";ff79b2bf-dd65-43e7-9a20-2c00d1b6fecc;Event reason;
\Modèle Objets Métier - MOM\Séquestre informatique\Nom de séquestre informatique;\Univers\Univers\Terme métier;Le nom de séquestre informatique désigne l'identification de la personne, de l'entité ou de l'organisation qui détient les droits de propriété ou de gestion sur un logiciel, un système informatique, ou des données critiques déposées en séquestre. Le séquestre informatique est une pratique utilisée pour protéger les intérêts des parties impliquées dans des transactions ou des accords technologiques en garantissant l'accès aux actifs informatiques en cas de défaillance du fournisseur ou de litige. Identifier le nom de séquestre informatique est essentiel pour assurer la transparence, la sécurité, et la conformité aux régulations dans la gestion des actifs technologiques.;4568115a-09af-440b-9711-fe17b52c5a64;IT Escrow Name;
\Modèle Objets Métier - MOM\Evénements\Origine de l'événement;\Univers\Univers\Terme métier;"Les événements permettent de modifier des données qui touchent à des objets métiers tels que les contrats, tiers, factures, règlements…
Ce champ permet de spécifier de quel module (contrats, tiers, factures…) l'événement a été lancé
Exemple:
DEPENSE
TRESORERIE
DOSSIER
ACTEUR
BIEN
FACTURES";99ecb5fe-46c4-4e42-b36b-d843f168afb0;Event origin;
\Modèle Objets Métier - MOM\Evénements\Référence événement;\Univers\Univers\Terme métier;Référence explicite attachée à l'événement;d119c1ab-1613-4a81-b1c6-e2e9c3151472;Event reference;
\Modèle Objets Métier - MOM\Evénements\Résultat événement;\Univers\Univers\Terme métier;Résultat produit par l'événement / issu de l'événement (décision, ...);c7035936-5e75-4418-ab90-cc0b1b02ae97;Event result;
\Modèle Objets Métier - MOM\Evénements\Sous-type événement;\Univers\Univers\Terme métier;Elément permettant de caractériser un événement. Il donne un niveau de regroupement plus fin que le type 'événement;c246fdfa-7bfd-457f-b27f-d684cd870513;Event subtype;
\Modèle Objets Métier - MOM\Evénements\Statut de l'événement;\Univers\Univers\Terme métier;Statut de l'événement de gestion. Dans le cadre d'un processus d'accompagnement, il s'agit de l'état d'avancement du diagnostic ( eg. eco-flux);5dc9ecb6-7a88-45b0-807d-eda8c47ed26d;Event status;
\Modèle Objets Métier - MOM\Evénements\Tiers destinataire de l'acte;\Univers\Univers\Terme métier;Tiers partie prenante du contrat ou gestionnaire qui est à destinataire de l'acte de gestion;58063076-f75e-4232-827e-fdca7a7d5423;Contract Stakeholder Or Manager Recipient;
\Modèle Objets Métier - MOM\Evénements\Tiers initiateur de l'acte;\Univers\Univers\Terme métier;Tiers partie prenante du contrat ou gestionnaire qui est à l'origine du déclenchement de l'acte de gestion;5625a22c-e705-477d-8025-0e4d2468858c;Stakeholder Initiator;
\Modèle Objets Métier - MOM\Evénements\Type Appelant;\Univers\Univers\Terme métier;Qualification de l'appelant en fonction de sa nature (système applicatif, Tiers, Collaborateur, ...);adf1e476-392e-4191-9590-ecfa59f095c8;Caller Type;
\Modèle Objets Métier - MOM\Evénements\Type événement;\Univers\Univers\Terme métier;"Permet de ""typer"" un événement, de dire à quelle action il correspond";ee25b6b0-90dc-41f0-9aad-e824cde87028;Event type;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Acteurs\Accompagnateur Ideation Factory;\Univers\Univers\Univers\Terme métier;Référence du collaborateur de Bpifrance membre de l'Ideation Factory suivant l'opportunité;1147b2ea-befa-4d6e-965c-f8ac578134ea;;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du gestionnaire (recouvrement)\Accord Transactionnel;\Univers\Univers\Concept\Terme métier;"La Demande d'accord sur transaction (DAT) ne peut être saisie qu'après la MEJ. Ce n'est pas une saisie obligatoire car elle dépend du contexte du dossier. C'est une opération qui intervient durant la phase de recouvrement donc après la MEJ mais avant la demande de règlement. 
Bpi est co-preneur de risque avec la banque, aussi toute décision qui va avoir une incidence sur le montant que la banque va récupérer lors de la phase de recouvrement doit être soumise à notre aval.
La DAT c'est quand la banque à une garantie (caution par exemple) et qu'elle souhaite effectuer un recouvrement qui est moins élevé que prévu par rapport à cette garantie pour diverses raisons. Vu que cette opération va avoir une incidence sur le montant que la banque va récupérer, elle doit demander l'accord à Bpi avant de demander le règlement, . C'est la Demande d'Accord sur Transaction";e88a25a7-7b5a-41c8-9e9a-f1d493d95731;Transaction Agreement;
\Modèle Objets Métier - MOM\Evénements\Evénements programmés\Acte de gestion automatique;\Univers\Univers\Concept\Terme métier;Indique si l'acte de gestion est déclenché automatiquement ou non;12881a3e-eff9-492e-b897-6bc165fcfeaa;Automated Act of Management;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Acteurs\Acteur référent;\Univers\Univers\Univers\Terme métier;Référence du collaborateur de Bpifrance identifié comme référent sur l'opportunité;d7484a9a-3279-400d-805e-adea65dab0d0;;
\Modèle Objets Métier - MOM\Evénements\Evénements\Acteur Valideur de l'événement;\Univers\Univers\Univers\Terme métier;Acteur en charge de valider le résultat de l'événement;365f5ae3-6c32-4c6f-9523-d1fc4465fe33;Event Validating Role;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Adresse du greffe;\Univers\Univers\Concept\Terme métier;"Adresse complète du tribunal. Par exemple : ""12 rue cité Foulc, 30000 Nîmes""";a052a0db-0d36-4bfc-8ad2-9c1c2975bf3a;Court Office Address;
\Modèle Objets Métier - MOM\Tiers\Contacts du tiers\Adresse du représentant de la personne morale;\Univers\Univers\Univers\Terme métier;Adresse du représentant légal ou du mandataire de la société.;3e58679e-b94b-4886-b91d-c448c5df3b1a;Legal Representative Address;
\Modèle Objets Métier - MOM\Tiers\Contacts du tiers\Adresse du siège;\Univers\Univers\Univers\Terme métier;"Correspond à l’adresse administrative d’une entreprise. Cette notion ne concerne toutefois que les sociétés. Les entreprises individuelles (et les micro-entreprises) n’ont pas de siège social. 
Une société a obligatoirement un siège social et elle ne peut en avoir qu’un seul. Il détermine notamment la nationalité de la société  et donc les droits applicables";f30aaa16-6af2-4fa7-8250-d2e0d34d3df9;Headquarter Address;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Adresse mandataire judiciaire;\Univers\Univers\Concept\Terme métier;Adresse complète du mandataire judiciaire, nécessaire à l'envoi de courriers.;96c35467-e716-4937-a2c3-86b037f9df36;Legal Agent Address;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Annonce BODACC;\Univers\Univers\Concept\Terme métier;Identifie si l'annonce a été publiée au BODACC ou non. Si non, elle a été publiée dans un journal d'annonces légales.;35ae29bd-e7b3-43a1-bd65-2104a4596368;Is official Publication;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Caractéristiques opportunité\Applicatifs éligibles;\Univers\Univers\Univers\Terme métier;Les applicatifs éligibles sont des logiciels ou des systèmes informatiques qui répondent à des critères spécifiques de conformité, de sécurité, de fonctionnalité, et de performance, et qui sont approuvés pour être utilisés au sein d'une institution financière.;da06939c-44ca-4987-83ee-b62ec1480f47;Eligible Applications;
\Modèle Objets Métier - MOM\Evénements\Actions à l'initiative de l'instructeur\Autorisation engagement;\Univers\Univers\Univers\Terme métier;Une autorisation d'engagement est un document officiel qui accorde à une personne ou une entité le droit de prendre des engagements au nom d'une institution financière. Ces engagements peuvent inclure des décisions financières, contractuelles, juridiques, ou opérationnelles. L'autorisation d'engagement précise les limites et les conditions dans lesquelles les engagements peuvent être pris, incluant les montants financiers, les types de contrats, et les durées.;3b8a0c0a-18a2-4427-909d-b177ca180535;Commitment Authorization;
\Modèle Objets Métier - MOM\Evénements\Actions à l'initiative de l'instructeur\Avis du comité;\Univers\Univers\Univers\Terme métier;Un avis du comité est une recommandation ou une décision formulée par un groupe de personnes (comité) au sein d'une institution financière. Ce comité peut être constitué de dirigeants, de spécialistes, ou de représentants de divers départements, et est chargé d'examiner des questions spécifiques, de prendre des décisions stratégiques, et de fournir des recommandations sur des sujets variés tels que la gestion des risques, les investissements, les politiques de conformité, ou les projets opérationnels. L'avis du comité est généralement basé sur une analyse approfondie, des discussions, et des votes.;e8c8fbd8-a277-407a-908b-35857813e1b1;Committee Opinion;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Caractéristiques opportunité\Axe métier concerné;\Univers\Univers\Univers\Terme métier;L'axe métier concerné fait référence au domaine ou à la fonction spécifique au sein d'une institution financière qui est impacté par une action, une décision, un projet, ou une analyse. Cet axe métier peut inclure des domaines tels que la gestion des risques, les opérations bancaires, la conformité, les ressources humaines, le marketing, la finance, et bien d'autres. Identifier l'axe métier concerné permet de cibler les efforts, d'allouer efficacement les ressources, et de garantir que les initiatives répondent aux besoins spécifiques du domaine en question. ;f104c0a3-8272-4904-b5e1-5714b573eec1;"Relevant Business Area
";
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Caractéristiques opportunité\Axe technologique;\Univers\Univers\Univers\Terme métier;L'axe technologique fait référence aux technologies, aux systèmes informatiques, et aux infrastructures numériques qui soutiennent les opérations et les services au sein d'une institution financière. Cet axe inclut des aspects tels que les logiciels applicatifs, les plateformes de données, les réseaux de communication, la cybersécurité, les solutions de cloud computing, et les innovations technologiques. Identifier et gérer l'axe technologique est crucial pour garantir la performance, la sécurité, et la conformité des systèmes utilisés, ainsi que pour favoriser l'innovation et l'efficacité opérationnelle.;e165046b-d81f-4dcf-9057-b0107d7f4716;"Technological Axis
";
\Modèle Objets Métier - MOM\Contrat\Intervenants\Bénéficiaire;\Univers\Univers\Univers\Concept;Personne morale qui jouit des actifs faisant l'objet du financement.;2fa576e8-8f26-46f7-b2c8-6aecbea22fbf;Payee;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Catégorie d'annonce;\Univers\Univers\Concept\Terme métier;Type de publication (annonce légale ou annonce rectifiée).;096999d5-de82-45b0-8874-7f4f9091433c;BODACC event category ;
\Modèle Objets Métier - MOM\Sûretés\Classe sûretés\Classe de sûreté de niveau 1;\Univers\Univers\Univers\Terme métier;"Les sûretés sont des techniques juridiques (et d’atténuation du risque de crédit) permettant au créancier de s’assurer (de tout ou partie) du règlement des créances du débiteur en cas de défaut de ce dernier ou en cas de survenance d’autres évènements de crédit prédéterminés.
Les sûretés peuvent notamment se traduire par l’obligation d’un tiers de payer au créancier un certain montant (sûretés personnelles) ou par un droit accordé au créancier de liquider ou d’obtenir le transfert de certains actifs ou montants (sûretés réelles).
Les sûretés se déclinent en trois classes :
Les sûretés réelles financières (dépôt de garantie, nantissement de parts sociales, etc.),
Les sûretés réelles non financières (hypothèque immobilière, nantissement de biens, etc.)
Les sûretés personnelles (caution, garantie bancaire, etc.).
Au sein de Bpifrance, la classification des sûretés qui se conforme aux principes édictés par le droit français et les textes règlementaires bancaires (règlement CRR notamment) se décline en 4 classes distinctes :
Sûretés réelles financières
Sûretés réelles non financières
Sûretés personnelles
Sécurisation juridique (cette dernière classe regroupe des sûretés hétérogènes de qualité significativement plus faible que les 3 autres classes).
Ces quatre classes appelées « classes de sûretés de niveau 1 » constituent le niveau le plus agrégé de la classification des sûretés de Bpifrance.
Elles se déclinent elles-mêmes en deux sous-classes (« classes de sûretés de niveau 2 » et « classes de sûretés de niveau 3 ») permettant d’obtenir des niveaux d’agrégation ou de granularité plus fins et ainsi d’affiner le regroupement des sûretés selon, notamment, leur nature, leur force juridique et leur degré de liquidité.
Fiche_données_Suretés_validée - 20240329.pdf";f80eff20-6a26-4eb4-a2c3-342e95f38945;Level 1 Collateral classification;
\Modèle Objets Métier - MOM\Sûretés\Classe sûretés\Classe de sûreté de niveau 2;\Univers\Univers\Univers\Terme métier;"Les classes de sûretés de niveau 2 sont les déclinaisons des classes de sûretés de niveau 1 en sous-classes de sûretés permettant d’obtenir des niveaux d’agrégation ou de granularité plus fins et d’affiner le regroupement des sûretés selon, notamment, leur nature, leur force juridique et leur degré de liquidité. À titre d’illustration, les classes de sûretés de niveau 2 « Privilège de prêteurs de deniers » et « Hypothèque immobilière » sont des sous-classes de la classe de sûretés de niveau 1 « Sûretés réelles non financières ».
Fiche_données_Suretés_validée - 20240329.pdf";06538ccf-edf8-404c-b968-5ea32ec2de6f;Level 2 Collateral classification;
\Modèle Objets Métier - MOM\Sûretés\Classe sûretés\Classe de sûreté de niveau 3;\Univers\Univers\Univers\Terme métier;"Les classes de sûreté de niveau 3 sont les déclinaisons des classes de sûretés de niveau 2 en sous-classes de sûretés dont le niveau de granularité est le plus fin. Elles permettent de caractériser les sûretés le plus précisément possible dans le cadre des processus opérationnels de Bpifrance.
À titre d’illustration, les classes de sûretés de niveau 3 « GAPD sur acomptes » et « Caution bancaire » sont des sous-classes de la classe de sûretés de niveau 2 « Garantie bancaire ».
Fiche_données_Suretés_validée - 20240329.pdf";a13d22d3-9f2c-40a9-809d-8e7046fbb477;Level 3 Collateral classification;
\Modèle Objets Métier - MOM\Sûretés\Clause sûretés\Clause sûretés;\Univers\Univers\Univers\Terme métier;"Code et libellé utilisé pour classifier les différentes clauses homogènes liées aux sûretés. Cette nomenclature est défini par un code technique associé à un libellé explicite, permettant une meilleure compréhension et utilisation.

Table MDM : R_CLML_CLAUSE_MLT";184f4e24-f530-4df8-8c3c-6e5fad45b55a;Collateral clause code;
\Modèle Objets Métier - MOM\Evénements\Compte-rendu Evénement de gestion\Code devise événement gestion;\Univers\Univers\Concept\Terme métier;"Ce code de devise dans un contrat fait référence à la devise ou l monnaie pour les transactions financières liées à des événements de gestion spécifiques. Ces événements de gestion peuvent inclure des activités telles que des frais de gestion, des paiements de dividendes, des distributions d'actifs, etc.
Par ailleurs, il garantit une compréhension mutuelle entre les parties contractantes sur la devise à utiliser lors de l'exécution des termes des contrats. Cela permet d'éviter toute confusion ou malentendu concernant les montants à payer ou à recevoir.";be9f1a87-d9c3-4142-98df-fd63fbe269c5;Management event currency code;
\Modèle Objets Métier - MOM\Evénements\Evénements extérieurs\Code NOR;\Univers\Univers\Concept\Terme métier;"Ce code permet d'identifier les arrêtés ministériels déclarant l'état de catastrophe naturels. 
Le système NOR est un système normalisé de numérotation des textes officiels français publiés depuis le 1er janvier 1987. Le numéro ainsi attribué est appelé « numéro NOR » ou simplement « NOR ».
Le numéro est constitué comme suit :
- Un code de 3 lettres identifie le ministère ou le secrétariat d'État par référence à une table de codification interministérielle gérée par le Secrétariat général du Gouvernement.
- Une lettre identifie la direction ou le service intéressé par le texte, par référence à une liste codée.
- Deux chiffres identifient l'année de signature du texte.
- Cinq chiffres identifient le numéro d'ordre du texte dans une séquence de chiffres propre à chaque auteur institutionnel.
- Une lettre identifie la nature du texte.
Exemple : PRMG8500001C = Circulaire du Premier ministre, émanant du secrétariat général du Gouvernement, émise en 1985 et portant le numéro 1";d7887af1-db9e-4595-b000-0c160152dac2;NOR Code;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du gestionnaire (recouvrement)\Code recouvrement et contentieux;\Univers\Univers\Concept\Terme métier;Il s'agit du code unique du dossier de risque et de recouvrement;9a3e9849-d5de-4467-b21d-aea38048cb01;Recovery and litigation file code;
\Modèle Objets Métier - MOM\Evénements\Evénements\Commentaire;\Univers\Univers\Univers\Terme métier;Un commentaire est une note ou une observation ajoutée à un document, une transaction, ou un rapport pour fournir des informations supplémentaires, des explications, ou des contextes spécifiques. Les commentaires sont utilisés pour clarifier des points importants, partager des avis, signaler des anomalies, ou documenter des décisions. ;9502c0cb-6ec3-4c37-beb6-01ead2e787ad;Event commentary;
\Modèle Objets Métier - MOM\Sûretés\Clause sûretés\Commentaire clause sûretés;\Univers\Univers\Univers\Terme métier;Texte de la clause valorisé automatiquement ou manuellement par le chargé d'affaires.;3b6c974b-1779-4050-927d-c4d0181a2eae;Collateral clause comment;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Commentaire de l'annonce;\Univers\Univers\Concept\Terme métier;Commentaire facultatif apportant des précisions sur l'annonce.;e2662ec6-8362-432d-a753-21f44cf6a921;Event additional information;
\Modèle Objets Métier - MOM\Evénements\Actions à l'initiative de l'instructeur\Commentaire mise en attente;\Univers\Univers\Univers\Terme métier;Un commentaire de mise en attente est une note ou une observation ajoutée à une transaction, une demande, ou un processus pour indiquer qu'il est temporairement suspendu ou en attente de traitement. Ce commentaire fournit des explications sur les raisons de la mise en attente, les actions nécessaires pour la résolution, et les délais prévus pour le traitement. Dans le cadre des institutions financières, les commentaires de mise en attente sont essentiels pour assurer la transparence des opérations, informer les parties prenantes de l'état des transactions, et faciliter la gestion des flux de travail. Ils permettent de documenter les décisions et de garantir une communication efficace entre les équipes.;9b93565a-169d-4cdf-8c4d-41b640fac2cb;Pending Comment;
\Modèle Objets Métier - MOM\Evénements\Actions à l'initiative de l'instructeur\Commentaires rejet;\Univers\Univers\Univers\Terme métier;Les commentaires de rejet sont des notes ou des observations ajoutées à une transaction, une demande, ou un processus pour indiquer qu'ils ont été refusés ou non acceptés. Ces commentaires fournissent des explications sur les raisons du rejet, les critères qui n'ont pas été satisfaits, et les actions nécessaires pour éventuellement corriger et resoumettre la demande. Dans le cadre des institutions financières, les commentaires de rejet sont essentiels pour assurer la transparence des décisions, informer les parties prenantes des motifs de refus, et faciliter la gestion des processus de révision. Ils permettent de documenter les décisions, d'améliorer la compréhension des critères de sélection, et de garantir une communication efficace entre les équipes.;e4a3c2e2-9ddc-4e2f-a759-fa3b2933a8c9;Rejection Comments;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Complément de jugement;\Univers\Univers\Concept\Terme métier;Informations complémentaires détaillant le jugement dont fait l'objet la procédure collective.;45049e7d-47e9-4382-b0ea-44739a1c8113;Additional judgment;
\Modèle Objets Métier - MOM\Evénements\Statut du document\Contexte de signature métier;\Univers\Univers\Concept\Terme métier;Contexte fonctionnel dans lequel une procédure de signature est initiée, suivi ou pilotée. Il permet de distinguer les cas d’usage métiers (ex. contrat RH, assurance crédit) au sein du socle générique de signature.Ex de valeurs : SIGNATURE_CREDIT_INSURANCE_POLICY, CORE_HR_CONTRACT;9fd9afd9-704e-4fe5-a28d-fefdf0f3db0d;Signature Business Context;
\Modèle Objets Métier - MOM\Evénements\Evénements\Contrôleur de l'événement;\Univers\Univers\Univers\Terme métier;Acteur en charge de contrôler la bonne exécution de l'événement;1ffb9736-5078-4626-94c2-b38acae93f66;Event checking role;
\Modèle Objets Métier - MOM\Evénements\Cycle de vie\Créateur;\Univers\Univers\Concept\Terme métier;Créateur du document (Matricules utilisateur ou compte technique);76c2ec27-d216-4b08-b9e7-48aa30d04631;File Creator;
\Modèle Objets Métier - MOM\Evénements\Compte-rendu Evénement de gestion\Créateur événement gestion;\Univers\Univers\Concept\Terme métier;"Le créateur d'événement de gestion désigne une entité spécifique (société de gestion d'actifs, gestionnaire de fonds, ...) qui est autorisée à initier ou à déclencher des événements de gestion spécifiés dans le contrat.
Ces événements de gestion incluent des actions telles que la réévaluation d'actifs, la distribution de revenus, la modification de stratégie d'investissement, des décisions liées à la gestion d'actifs ou des fonds mentionnés dans le contrat.";fbd45ab1-873e-4cba-8efe-6c8bd023b016;Management event creator;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Proposition de valeur\Critère de réussite;\Univers\Univers\Univers\Terme métier;Critère, thème, sur lequel un bénéfice est attendu, et sur lequel une mesure sera effectuée afin de déterminer si l'expérimentation est une réussite ou non;67168482-fb00-4c86-b52b-4d327f01fecf;;
\Modèle Objets Métier - MOM\Sécurité du SI\Score sécurité\Cyber security score;\Univers\Univers\Concept\Terme métier;Mesure quantitative qui évalue le niveau global de sécurité informatique de Bpifrance par consolidation du niveau global de chacune des applications référencées. Ce score permet d'identifier les domaines nécessitant des améliorations et de s'assurer que les actifs sont protégés contre les cyberattaques.Ex: 78.2 / 100;c3e544a9-750a-4505-a59d-59dc06509657;Cyber security score;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Date d'effet de l'annonce légale;\Univers\Univers\Concept\Terme métier;"Date à laquelle la publication prend effet, cette notion dépend du type d'annonce et il s'agit d'une date construite selon les règles définies ci-dessous pour faciliter l'exploitation des données.
La règle de construction est la suivante :
Pour les dissolutions, alors date effet = date de cessation de l'activité
Pour les modifications, alors date effet = date de publication
Pour les procédure collectives, alors date effet = date de décision du jugement
Pour les ventes et cessions, alors date effet = date de publication
Pour les création, alors date effet = date de commencement de l'activité
Pour les publications de comptes annuels, alors date effet = date de fin d'année fiscale
Si la date cible est manquante, date effet prend par défaut la valeur de la date de publication.";5cd21d29-01fa-48ab-9e7e-31545eb0c810;Publication effective date;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Date d'effet de la procédure;\Univers\Univers\Concept\Terme métier;Date de l'évènement décrit dans l'annonce BODACC. Par exemple : date du jugement.;9b56649b-0707-4287-be4e-93cf932a738d;Event Activation Date;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Date d'émission de l'annonce;\Univers\Univers\Concept\Terme métier;Date de parution de l'annonce (BODACC).;701e7cfd-8184-4a51-ac38-877acef5b07f;Publication Date;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du souscripteur (recouvrement)\Date d'entrée en défaut;\Univers\Univers\Concept\Terme métier;Date à laquelle le partenaire bancaire declasse son dossier en défaut au sein de son établissement (non performant);d985fec4-b505-418d-afb0-a9d13962d29a;Entry of default date;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du souscripteur (gestion saine)\Date d'exigibilité négociée;\Univers\Univers\Concept\Terme métier;La date d'exigibilité négociée est la date convenue entre les parties impliquées pour le règlement d'une obligation financière, telle qu'un paiement, un remboursement de prêt, ou une facture. Cette date est le résultat de négociations entre le créancier et le débiteur, et elle peut différer de la date d'exigibilité initialement prévue par le contrat ou les termes de l'accord.;6da392f3-80c8-42e4-99ef-332c3a6206d4;Invoice Negociated Due Date;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Parcours de formation\Date d'inscription au parcours de formation;\Univers\Univers\Univers\Terme métier;Différent de la date de soucription à l'offre du parcours. Date à laquelle l'utilisateur s'est inscrit au parcours de formation.;2046e0f6-f5d2-42c9-8905-7376fc3fa842;Training course registration date;
